system:index,NBR_amp,NBR_mean,NBR_pha,NDMI_amp,NDMI_mean,NDMI_pha,NDVI_amp,NDVI_mean,NDVI_pha,cls,elev,ptid,slope,.geo
575_0,0.05682601456637106,0.5899738,-2.960542836897417,0.052994290509693565,0.2707641,-2.8869327372552966,0.0815181149980709,0.73696756,-2.5825734873985953,3,93,575,13.984204,"{""type"":""MultiPoint"",""coordinates"":[]}"
576_0,0.06006542259088981,0.6226925,-2.8063345517525415,0.05933028463661516,0.3046175,-2.928176998312412,0.05555964576478902,0.7794873,-2.8912211661853897,3,513,576,19.459524,"{""type"":""MultiPoint"",""coordinates"":[]}"
577_0,0.02083947645245637,0.64047974,3.012114268270765,0.026415159539360203,0.33054224,2.8847017036851272,0.026034435565439787,0.7848383,-2.924391447290578,3,224,577,10.0713625,"{""type"":""MultiPoint"",""coordinates"":[]}"
578_0,0.10107188912765296,0.5688759,-2.378631885353183,0.08954890807413508,0.2783147,-2.331896948678488,0.11806240290967167,0.70572716,-2.4656956256232325,3,101,578,14.142327,"{""type"":""MultiPoint"",""coordinates"":[]}"
579_0,0.09370819177551766,0.5745258,-2.412793600903003,0.0841526208120706,0.28029132,-2.318689480415822,0.07299322553775296,0.7492478,-2.3373895157893663,3,637,579,19.02596,"{""type"":""MultiPoint"",""coordinates"":[]}"
580_0,0.08057677601043854,0.5573031,-2.378049934701985,0.06413070481235046,0.24439713,-2.4101322566756274,0.08890231497679991,0.7440647,-2.28827657021767,3,177,580,14.520768,"{""type"":""MultiPoint"",""coordinates"":[]}"
581_0,0.059006127219637126,0.49469444,-2.389612935941053,0.05013763286045153,0.23071732,-2.3244592840272578,0.0349539264915906,0.67568755,-2.71863685441364,3,733,581,20.6874,"{""type"":""MultiPoint"",""coordinates"":[]}"
582_0,0.03403101564694927,0.66409284,-2.9641023658086576,0.03469661562281204,0.3450635,-3.081818868747607,0.038399679020266,0.8244626,-2.629891648236673,3,385,582,30.978962,"{""type"":""MultiPoint"",""coordinates"":[]}"
583_0,0.049321655303639134,0.6139495,-2.453098400142069,0.03551611817357226,0.305846,-2.3498041606071642,0.07759050156263413,0.74560976,-2.611783258597385,3,130,583,11.471186,"{""type"":""MultiPoint"",""coordinates"":[]}"
584_0,0.07069494659138098,0.58293563,-2.400169062757683,0.05731399424067164,0.25316325,-2.4561018017774474,0.08352851365968604,0.75525963,-2.372790389723076,3,179,584,20.173203,"{""type"":""MultiPoint"",""coordinates"":[]}"
585_0,0.09552169513391513,0.5778687,-2.7337888060563715,0.08674715975164003,0.27000546,-2.7762158034778612,0.09946126879468752,0.7646968,-2.465469744290025,3,454,585,31.70446,"{""type"":""MultiPoint"",""coordinates"":[]}"
586_0,0.05109014977293159,0.55730253,-2.9118187941676443,0.04457176241600041,0.25684333,-2.9463616494906337,0.04617133136947818,0.6675485,-2.913956756192202,3,39,586,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
587_0,0.13622081489808874,0.4866044,-2.637881902575592,0.11824571302299446,0.20179342,-2.523599636652322,0.11796580018094421,0.6739237,-2.7957196728300815,3,296,587,8.813647,"{""type"":""MultiPoint"",""coordinates"":[]}"
588_0,0.045425218517847865,0.6617897,2.5386394144973266,0.047678990469912454,0.3522107,2.039013681512377,0.06982374906793934,0.78264904,-2.4613236526573683,3,976,588,44.410664,"{""type"":""MultiPoint"",""coordinates"":[]}"
589_0,0.11048281734928483,0.5758931,-3.001434060073284,0.09687256836889854,0.2704277,-2.9317030769715022,0.1053587112643152,0.72298056,-2.824229389014927,3,266,589,18.33088,"{""type"":""MultiPoint"",""coordinates"":[]}"
590_0,0.07265008208688604,0.553335,-2.782397103976286,0.0759212456319582,0.24941482,-2.814967827066419,0.0746289095601123,0.7042278,2.832003033146621,3,218,590,3.8428655,"{""type"":""MultiPoint"",""coordinates"":[]}"
591_0,0.05502286919903239,0.5566583,-2.444908697104721,0.05160623028368348,0.25698355,-2.3744806795525992,0.048593121084405506,0.75593644,-2.7397277508859923,3,629,591,20.967249,"{""type"":""MultiPoint"",""coordinates"":[]}"
592_0,0.06447491802270972,0.55436224,-2.719154668011831,0.06114063039199804,0.25420517,-2.651554519931544,0.06560417211255302,0.7170493,-2.578530535380252,3,238,592,19.359163,"{""type"":""MultiPoint"",""coordinates"":[]}"
593_0,0.05478129143876463,0.570898,3.054273138547325,0.040922491827457705,0.27380383,-2.8549385991158225,0.06102150559663,0.7460488,2.9411732067793195,3,483,593,16.660831,"{""type"":""MultiPoint"",""coordinates"":[]}"
594_0,0.04850093291955031,0.6819017,-3.055559199889259,0.04174790021522213,0.37556875,-2.89208855375401,0.05924740192592051,0.81459993,-3.1264407639089278,3,471,594,33.366634,"{""type"":""MultiPoint"",""coordinates"":[]}"
595_0,0.06299175119638686,0.5630365,-2.7824001547918105,0.07074470551216953,0.25438097,-2.8038627191877605,0.08199852294453179,0.7091201,3.0307234688590303,3,215,595,19.911228,"{""type"":""MultiPoint"",""coordinates"":[]}"
596_0,0.1090339899569179,0.54586774,-2.8175099824186045,0.09073869526562428,0.22211424,-2.725391881545313,0.11261172947098201,0.726566,-2.8121353694917617,3,169,596,14.717844,"{""type"":""MultiPoint"",""coordinates"":[]}"
597_0,0.08485125552238632,0.59254974,-2.597744390320617,0.08733687228828911,0.2795061,-2.7531734168191395,0.0647370026817598,0.7620917,-2.383164450832762,3,84,597,20.314325,"{""type"":""MultiPoint"",""coordinates"":[]}"
598_0,0.06041541676671233,0.5656427,-2.2594959938184846,0.05569326974563755,0.23540294,-2.1555970692008315,0.056010095074845424,0.75860274,-2.678943229130338,3,254,598,17.755169,"{""type"":""MultiPoint"",""coordinates"":[]}"
599_0,0.05130809716555905,0.64011514,3.0156566908741462,0.04594311838191567,0.33390146,2.956390381239365,0.04229781420398397,0.81878287,-3.0367499765908073,3,1242,599,28.98268,"{""type"":""MultiPoint"",""coordinates"":[]}"
600_0,0.061322123456446866,0.2457609,-2.0105001009902628,0.043155709473212914,0.10607648,-1.9934834139889326,0.07400777182326745,0.34687248,-1.8827925779378152,3,136,600,6.7748914,"{""type"":""MultiPoint"",""coordinates"":[]}"
601_0,0.0626474089862265,0.647347,-2.9446712353075144,0.07523271429871994,0.32865107,-3.039140577355568,0.06871009426560508,0.7722084,-2.9273583243244516,3,84,601,13.559054,"{""type"":""MultiPoint"",""coordinates"":[]}"
602_0,0.09590731718110662,0.60774493,-2.7562889539370223,0.08321358057979338,0.30577022,-2.6756298939615117,0.08884636832064015,0.7916068,-2.878836863567292,3,554,602,36.223328,"{""type"":""MultiPoint"",""coordinates"":[]}"
603_0,0.03185707523277624,0.5912882,-2.76118813663102,0.03057728362904039,0.27989528,-2.5933135567066627,0.02159835469168715,0.7786285,-3.0783029595382287,3,1433,603,28.901499,"{""type"":""MultiPoint"",""coordinates"":[]}"
604_0,0.09084165199273117,0.5409691,-2.981891003725172,0.08320968650194185,0.21594547,-2.7175778160281463,0.07502776603817468,0.7654234,2.9750826999921394,3,814,604,19.355179,"{""type"":""MultiPoint"",""coordinates"":[]}"
605_0,0.05809610526359463,0.5142171,-2.561811400728661,0.06603641648292768,0.21661733,-2.5700540790316326,0.07422110358503578,0.65156156,-2.6582012362634138,3,90,605,6.3080244,"{""type"":""MultiPoint"",""coordinates"":[]}"
606_0,0.07491438232853505,0.56696963,-2.598110864165209,0.06226386839094582,0.24642451,-2.4446269720783507,0.08559505359265454,0.7649324,-2.6715696996086984,3,112,606,16.698784,"{""type"":""MultiPoint"",""coordinates"":[]}"
607_0,0.05057892554104898,0.52172685,-2.8793470834035366,0.03651768013288482,0.23543185,-2.862019193484702,0.05490170393155892,0.665104,-2.716911382591099,3,36,607,2.956583,"{""type"":""MultiPoint"",""coordinates"":[]}"
608_0,0.09963603553728737,0.60188466,-2.4050005828631447,0.08443941024849921,0.29770973,-2.3217665442894337,0.10340767103915707,0.78478163,-2.4644408580474195,3,884,608,11.925152,"{""type"":""MultiPoint"",""coordinates"":[]}"
609_0,0.08707508722179606,0.4874087,-2.424730065565681,0.07363719021105276,0.22426982,-2.3120207796091004,0.06507627458136081,0.6474244,-2.932935995704055,3,299,609,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
610_0,0.06507045212342538,0.54913145,-3.1211183406580707,0.044653750544278815,0.2663456,-3.045265182123406,0.07324150476035306,0.7032494,2.9784569556456253,3,372,610,16.191591,"{""type"":""MultiPoint"",""coordinates"":[]}"
611_0,0.055237024254786875,0.57747835,-3.0756178888310695,0.06718190098448766,0.2430557,-3.1374698151812295,0.06093238918512171,0.73885846,-3.0711461802112163,3,60,611,14.533349,"{""type"":""MultiPoint"",""coordinates"":[]}"
612_0,0.03376412117331535,0.58469534,-3.075160114357046,0.025532628056298485,0.30498284,-2.9717902543440053,0.04232511223797916,0.7710442,-2.8121839282184675,3,698,612,8.000304,"{""type"":""MultiPoint"",""coordinates"":[]}"
613_0,0.0733539145724458,0.56577194,2.642934058389925,0.07166383286936731,0.26062605,2.5349507720575684,0.16626540936060083,0.69115764,2.230575197348938,3,552,613,28.827692,"{""type"":""MultiPoint"",""coordinates"":[]}"
614_0,0.03265939585916769,0.6235154,-2.332832260656931,0.03907233190141538,0.30002952,-2.565946223803996,0.057964102246132264,0.78334945,-2.9264534290244426,3,595,614,15.932756,"{""type"":""MultiPoint"",""coordinates"":[]}"
615_0,0.13704877009523822,0.503228,-2.6378366114309335,0.11206523942282146,0.2117903,-2.6150548807983944,0.12854184697113707,0.68336314,-2.8361121807078105,3,82,615,6.8151603,"{""type"":""MultiPoint"",""coordinates"":[]}"
616_0,0.05658957160421397,0.6079547,3.0326687655984976,0.061984755194214855,0.29356617,3.125462951637999,0.06224812487027706,0.779457,2.6301076534941847,3,157,616,12.375334,"{""type"":""MultiPoint"",""coordinates"":[]}"
617_0,0.06324210872153489,0.6526292,-2.613901566132258,0.053496172813938474,0.35514987,-2.6349070304746016,0.0752308706388739,0.7374883,-2.7198951042722483,3,137,617,20.73504,"{""type"":""MultiPoint"",""coordinates"":[]}"
618_0,0.05194717667385423,0.58917403,-3.078483374320964,0.05585578310746149,0.27018708,-3.1212951228715062,0.08376096301942516,0.7298662,-3.1127902222196644,3,191,618,17.403114,"{""type"":""MultiPoint"",""coordinates"":[]}"
619_0,0.0470417274750312,0.49774933,-1.9993371957912538,0.031217545504275752,0.21410616,-1.9770287740342845,0.0827743350791518,0.6455402,-2.685595137037762,3,114,619,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
