ptid,cls,NDRE_fstd1,NDRE_fstd2,NDRE_fstd4,NDVI_fstd2,NDVI_fstd4,glcm2_contrast,glcm2_ent,glcm2_idm,glcm2_var,glcm4_contrast,glcm4_ent,VH,VH_fstd2,L_HH,L_HV,L_HHHV,L_HV_fstd2
47,1,0.00955791039025865,0.014751746659037066,0.027118845517973174,0.014730918390978023,0.03299226895992366,6.63125,3.030138322910059,0.39249677448942155,5.066855468749964,9.32248263888889,4.139605081850759,-13.54010403698915,2.9296130874304414,-8.930733162334135,-16.03390273903679,7.103169576702655,3.5750807251130348
48,1,0.01821620391585656,0.038301065933116864,0.049133117454477314,0.050233824274147694,0.07316790595908938,12.912500000000001,3.3151690538282956,0.29332490447626747,16.910449218758004,22.79253472222222,4.4908184676147265,-14.880771238216521,0.6748355075762325,-7.303376437510622,-10.32659187897113,3.0232154414605077,1.1355041868694329
49,1,0.07751831481343052,0.08275189771350132,0.10468395128086912,0.11158056990096724,0.1522811111330647,78.63125,3.5339859796718356,0.08746654650744626,79.09294921874744,114.09809027777777,4.854362897222952,-9.007176967588492,3.0165630291956154,-4.375929490984959,-13.927518528170992,9.551589037186034,1.5307016862450784
50,1,0.025146994984500955,0.04270543830368223,0.05787099618270275,0.0695518506869888,0.0905662620448493,28.196875,3.475501686312091,0.1799718608907599,26.73803710937409,36.63758680555556,4.580608754164562,-14.672738471989732,0.7385018939795859,-8.360171019621419,-13.130838980096229,4.77066796047481,1.726449093148679
51,1,0.128681205244367,0.15339282064679205,0.19852532524760996,0.2256308003188786,0.2758732772336741,197.0,3.538318149550336,0.09038635035543083,310.6777929687478,179.30815972222223,4.811631125649053,-8.0415224867052,2.049656650400996,3.630975210150467,-5.861798793984278,9.492774004134745,3.135122269759642
52,1,0.03194520314822474,0.0714622879494755,0.0965684987281661,0.1007927439094536,0.13741328258361346,64.55937499999999,3.308670799010545,0.1935905663597451,59.124951171867906,65.30121527777779,4.649360688760053,-10.240285724939472,1.4685623162056727,-0.044001015975993596,-9.333654761562343,9.28965374558635,1.9089843066003576
53,1,0.020787764556027585,0.022200070854687903,0.020650604888480542,0.02577366429815602,0.02488217069899651,6.621874999999999,3.2095194793157313,0.36077813531857644,4.6892089843722715,4.968315972222222,3.5836139158788978,-11.402433461390794,3.4371287075604937,-5.804029050388678,-11.147583573560354,5.343554523171676,2.1500835013041213
54,1,0.06560641019971998,0.0802872187910142,0.08614589960408733,0.11305119528124338,0.11008078400833142,115.84375,3.47766777125134,0.10844980545719812,84.73773437499585,51.43315972222222,4.467830281997264,-11.683638294671601,1.3874385343060291,-4.5818879167195234,-10.765533839853163,6.183645923133639,1.9286584777891431
55,1,0.020138756710624255,0.020936428585822255,0.019819251257537838,0.02823508178877781,0.026910220611083807,6.409375,3.115889239417311,0.4276359376910848,4.011357421870343,5.950086805555555,3.8889176424709633,-18.49383019596329,1.2733814363569416,-10.545360696705615,-20.58194364770945,10.036582951003837,2.9287033328026313
56,1,0.0799202926783762,0.10393340791223171,0.12243141677709411,0.15310249505459753,0.18842578793090842,107.0375,3.520989470036337,0.07474810829152262,106.06669921874891,78.25130208333334,4.605701370650992,-12.780323618502726,1.7901980035572298,-1.9869923827217235,-5.434161015004079,3.447168632282356,3.001334234560247
